Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
The Sign,Ace of Base,76,97,"eurodance, europop","Electronic, Pop",03:11,81,79,1,7,90,0,0,-7,E minor,4,9A,Ace of Base,The Sign
Low Key,Yeps Official,12,145,psytrance,Electronic,05:32,73,87,0,85,8,0,10,-12,B minor,4,10A,Yeps Official,Low Key
All inclusive Wahnsinn,DJ Ugly,1,75,,,02:51,66,70,4,0,72,0,10,-14,G minor,4,6A,DJ Ugly,All inclusive Wahnsinn
Don't Stop Believin' (2022 Remaster),Journey,88,119,"album rock, classic rock",Rock,04:09,51,75,13,0,51,0,20,-7,E,4,12B,Journey,Don't Stop Believin' (2022 Remaster)
Ignition,JBista,11,147,,,01:31,75,68,12,4,48,20,30,-2,F#/G♭ minor,4,11A,JBista,Ignition
Ironic - 2015 Remaster,Alanis Morissette,77,115,,,03:50,41,58,22,0,37,0,10,-8,B,5,1B,Alanis Morissette,Ironic
I'm Like A Bird,Nelly Furtado,78,90,,,04:03,62,61,15,0,61,0,20,-5,A#/B♭,4,6B,Nelly Furtado,I'm Like A Bird
Come Here,"Christian Gustafsson,The Mysterious G",18,136,,,03:23,49,41,0,0,6,0,10,-10,D minor,4,7A,Christian Gustafsson,Come Here
Bad N Boujee,"J Wilz,LOAD B,X4",22,87,"drum and bass, bassline",Electronic,02:47,69,80,1,0,32,10,10,-6,D,4,10B,J Wilz,Bad N Boujee
Walk On Fire,Kaíyla,25,100,,,03:23,56,32,2,0,19,0,20,-14,A#/B♭ minor,4,3A,Kaíyla,Walk On Fire
I Still Haven't Found What I'm Looking For,U2,81,101,rock,Rock,04:37,56,77,1,0,66,0,0,-9,C♯/D♭,4,3B,U2,I Still Haven't Found What I'm Looking For
Watching The Dawn,Richy McLoughlin,12,125,kuduro,Electronic,03:24,59,65,25,0,72,0,30,-10,C,4,8B,Richy McLoughlin,Watching The Dawn
Bitch,Meredith Brooks,74,96,,,04:12,62,89,1,0,65,0,0,-6,A,4,11B,Meredith Brooks,Bitch
Mi deserción,Marta Tchai,23,127,,,04:26,49,84,3,0,45,0,40,-3,C,4,8B,Marta Tchai,Mi deserción
Clarity,Sean Slick,12,78,,,03:00,71,52,45,0,63,30,0,-10,A#/B♭ minor,4,3A,Sean Slick,Clarity
Save Tonight,Eagle-Eye Cherry,76,120,,,04:02,55,71,0,0,65,0,20,-9,C,4,8B,Eagle-Eye Cherry,Save Tonight
Living This Way,Caleb Taker,12,90,,,02:29,52,32,17,0,13,0,50,-11,F#/G♭,4,2B,Caleb Taker,Living This Way
Falling or Flying,Mimskiii,11,145,,,02:37,67,100,0,84,92,0,20,0,E minor,4,9A,Mimskiii,Falling or Flying
FITTED,It'sYaBoiH2,18,130,,,05:33,89,69,1,0,37,30,20,-6,C♯/D♭,4,3B,It'sYaBoiH2,FITTED
Tokyo,RdoubleU,14,124,,,02:06,48,56,0,0,7,0,40,-8,C♯/D♭,4,3B,RdoubleU,Tokyo
Crazy - 2022 Remaster,Seal,63,103,,,05:56,65,83,30,4,76,0,0,-8,B minor,4,10A,Seal,Crazy
Cloud 9,ItzJaa,12,115,,,02:36,63,24,85,86,24,0,10,-14,B minor,4,10A,ItzJaa,Cloud 9
Like A Man (F.L.A.M),Envy Marshall,32,144,,,03:14,47,79,2,0,59,0,30,-8,A,4,11B,Envy Marshall,Like A Man (F.L.A.M)
I Don't Wanna Lose Your Love,"Karen Thornton,Jim Witter",13,111,,,04:05,79,49,76,0,58,0,10,-7,D,4,10B,Karen Thornton,I Don't Wanna Lose Your Love
One Of Us,Joan Osborne,70,175,,,05:20,32,50,1,0,40,0,10,-8,A,4,11B,Joan Osborne,One Of Us
Taking Chances,Lori,13,177,,,04:02,30,69,0,0,29,0,0,-6,D,4,10B,Lori,Taking Chances
