#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
652,"All Of The Lights","Kanye West",81,142,"rap","Hip Hop","My Beautiful Dark Twisted Fantasy",2010-11-22,04:59,53,80,8,0,22,0,10,-3,C♯/D♭,4,2023-07-11,22L7bfCiAkJo5xGSQgmiIO,"Roc-A-Fella",3B,USUM71027273
653,"Money Trees","Kendrick Lamar,Jay Rock",84,72,"hip hop, west coast hip hop, ","Hip Hop","good kid, m.A.A.d city",2012-00-00,06:26,72,53,7,0,34,10,20,-7,G,4,2023-07-11,2HbKqm4o0w5wEeEFXm2sD4,"Aftermath",9B,USUM71210785
654,"Enchanted (Taylor's Version)","Taylor Swift",80,82,"","","Speak Now (Taylor's Version)",2023-07-07,05:53,52,55,2,0,23,0,10,-4,G#/A♭,4,2023-07-11,3sW3oSbzsfecv9XoUdGs7h,"Taylor Swift",4B,USUG12302081
655,"Saturday Sun","Vance Joy",72,100,"folk pop","Folk, Pop","Nation of Two",2018-02-23,03:34,64,86,48,0,71,0,20,-4,G#/A♭,4,2023-07-11,2RiBogNRfulkNf7fVbPOrJ,"Atlantic Records",4B,USAT21705384
656,"Sun","Two Door Cinema Club",3,97,"indie","Pop, Rock","Beacon",2012-08-31,03:07,65,53,1,0,60,0,10,-6,E minor,4,2023-07-11,0fdaCKYxdhL0SAlNM2yZq2,"Glassnote Entertainment Group LLC",9A,FRU701200087
657,"Judy You Hung the Moon","HARBOUR",1,140,"","","Heatwave",2017-08-04,03:30,65,65,51,0,63,0,0,-8,F#/G♭ minor,4,2023-07-11,10oDDj46J0IMYBPSloeJ4Z,"Harbour",11A,TCADE1723407
658,"honey","Coastal Club",55,165,"","","honey",2020-04-03,04:10,49,87,1,0,54,10,10,-4,A,4,2023-07-11,4YCVwSOabpy5DeaxRjUok1,"Coastal Club",11B,GBWUL2044714
659,"Calm Down","Jack Johnson",43,122,"surf rock","Rock","Meet The Moonlight",2022-06-24,03:15,81,61,78,0,94,0,20,-9,G minor,4,2023-07-11,7HaYYyX5y87gj6JvXyOmzM,"Brushfire / Republic Records",6A,USUG12201856
660,"death is a dj","JAWNY",33,151,"bedroom pop","Pop","It’s Never Fair, Always True",2023-03-03,02:48,40,84,0,0,67,0,10,-5,B minor,4,2023-07-11,0Cu9We0B5hgudMv7lpdf1j,"Johnny Utah LLC, under exclusive license to Interscope Records",10A,USUG12207034
661,"Horizons","Gus Dapperton",40,135,"bedroom pop","Pop","Horizons",2023-03-03,03:03,57,81,0,0,66,0,10,-5,F minor,4,2023-07-11,3lHh76erVVIK364LN7KBRr,"Warner Records",4A,USWB12300268
662,"Softcore","The Neighbourhood",88,94,"","","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,03:26,57,57,5,0,37,0,20,-6,A minor,4,2023-07-11,2K7xn816oNHJZ0aVqdQsha,"Columbia",8A,USSM11800523
663,"Bahamas","HARBOUR",44,125,"","","To Chase My Dreams, or to Just Lie Down?",2023-02-24,03:47,65,82,0,0,76,0,10,-4,E,4,2023-07-11,3ARbNwBFLk166Ndgytrenm,"HARBOUR",12B,QZHZ52269690
664,"Sundress","Zoo Culture",0,130,"","","Sundress",2019-09-12,03:36,70,86,23,0,86,0,10,-9,E,4,2023-07-11,3ErP14qBLcrhch0bn6T8BJ,"Zoo Culture",12B,USHM81990855
665,"Hello","GROUPLOVE",45,95,"indie","Pop, Rock","Hello, All!",2023-03-23,03:23,49,94,0,0,77,0,20,-4,C♯/D♭,4,2023-07-11,3DcJhILpOqM0tNWTKGf6uq,"Glassnote Music LLC",3B,QM4TX2321226
666,"29","Run River North",51,157,"","","Drinking From a Salt Pond",2016-02-26,03:27,44,90,0,0,28,0,20,-5,G minor,4,2023-07-11,0y30gL6j3y3xDxK3sCOctP,"Nettwerk Music Group",6A,CAN111500409
667,"Goodbye Yellow Brick Road - Remastered 2014","Elton John",78,121,"","","Goodbye Yellow Brick Road (Remastered)",1973-10-05,03:12,56,47,45,0,40,0,10,-8,F,4,2023-07-11,4IRHwIZHzlHT1FQpRa5RdE,"UMC (Universal Music Catalogue)",7B,GBUM71304956
668,"Space Song","Beach House",80,147,"dream pop","Pop, Rock","Depression Cherry",2015-08-28,05:20,51,79,23,12,60,0,10,-7,C minor,4,2023-07-11,7H0ya83CMmgFcOhw0UB6ow,"Sub Pop Records",5A,USSUB1512203
669,"Can I Call You Tonight?","Dayglow",79,130,"indie rock","Rock","Fuzzybrain",2019-11-14,04:38,64,84,13,91,50,0,40,-7,A,4,2023-07-11,61OJxhoY3Ix50rYVKo8zRK,"Very Nice Records",11B,TCADL1825079
670,"Is It Magic?","PawPaw Rod",53,110,"indie r&b","R&B, Rock","Is It Magic?",2023-04-21,03:08,84,65,2,0,77,0,10,-7,F,4,2023-07-11,4mRX0FjuzicwZWbkRAE0Ht,"GODMODE",7B,QM38F2300010
671,"Oysters In My Pocket","Royel Otis",78,168,"indie","Pop, Rock","Oysters In My Pocket",2022-03-10,02:42,60,92,2,80,61,0,10,-5,F#/G♭ minor,4,2023-07-11,2B664ulJSVBd6B8SAY3Wux,"House Anxiety / Ourness",11A,GBKPL2284406
672,"Pool","Still Woozy,Remi Wolf",57,100,"bedroom pop, ","Pop","Pool",2022-03-17,03:43,66,48,39,0,27,0,10,-11,C,4,2023-08-23,1ZP4Qxb7USL3EezbxfpOVF,"Still Woozy Productions Inc., under exclusive license to Interscope Records",8B,USUG12201528
673,"Show Me How","Men I Trust",7,166,"bedroom pop, indie pop","Pop, Rock","Show Me How",2018-02-28,03:35,79,27,67,53,54,0,10,-12,F,4,2023-09-08,01TyFEZu6mHbffsVfxgrFn,"Indie",7B,TCADM1873570
674,"bad idea right?","Olivia Rodrigo",5,130,"","","bad idea right?",2023-08-11,03:04,63,88,0,0,81,10,0,-4,A,4,2023-09-08,2i8f4VnnBjy0yDqH2C452a,"Olivia Rodrigo PS",11B,USUG12304094
