#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
425,"I Was Wrong","Chris Stapleton",74,136,"country","Country","From A Room: Volume 1",2017-05-05,03:11,66,58,39,3,43,0,10,-9,D minor,4,2025-01-28,7dUdMZqfGSIt0ZkmTOgRLA,"Mercury Nashville",7A,USUM71701978
426,"Traveller","Chris Stapleton",76,88,"country","Country","Traveller",2015-05-04,03:42,54,75,7,2,76,0,10,-7,D minor,4,2025-02-05,178OI1A3qjROeFeh8lmNwW,"Mercury Nashville",7A,USUM71418080
427,"Different 'Round Here","Riley Green,Luke Combs",75,142,"country","Country","Ain't My Last Rodeo",2023-10-13,02:56,45,72,0,0,31,0,10,-6,C♯/D♭,4,2025-02-26,7HRW1XRyOITRJWrygoKL9u,"BMLG Records",3B,QZRD92302492
428,"A Simple Song","Chris Stapleton",71,77,"country","Country","From A Room: Volume 2",2017-12-01,03:36,61,20,87,0,41,0,10,-17,F,4,2025-03-03,1XXl9pl7ObojHbyJetY75n,"Mercury Nashville",7B,USUM71710214
429,"Open the Gate","Zach Bryan",78,149,"country, red dirt","Country","American Heartbreak",2022-05-20,03:54,43,61,1,0,53,0,0,-5,E minor,4,2025-03-03,6pamafD9p0K7FHfJPz6TYF,"Warner Records",9A,USWB12201500
430,"weren't for the wind","Ella Langley",79,152,"country","Country","still hungover",2024-11-01,03:13,47,80,16,0,45,0,10,-5,F#/G♭ minor,4,2025-03-03,2A22iI0x4EYAVXNpKPhNEM,"SAWGOD/Columbia",11A,USSM12403681
431,"I'm Not Pretty","Megan Moroney",77,128,"country","Country","Lucky",2023-05-05,03:01,57,80,13,0,71,0,10,-6,A#/B♭,4,2025-03-03,2ePiBvKtQOCBHq9uOlwiiU,"Columbia Nashville/Columbia Records",6B,USQX92300259
432,"Liar","Jelly Roll",82,114,"country hip hop, country","Country, Hip Hop","Beautifully Broken",2024-10-10,03:24,65,77,4,0,61,0,0,-5,C♯/D♭,4,2025-03-25,0llPOBVoJYDAtdmVlNE41A,"BBR Music Group/Jelly Roll",3B,USUG12404541
433,"Just In Case","Morgan Wallen",89,146,"country","Country","Just In Case",2025-03-21,02:46,65,50,68,0,44,0,10,-7,A#/B♭,4,2025-04-07,02Ya2Q08bBKFqUJvjmyRXK,"Mercury Records/Morgan Wallen",6B,USUG12501602
434,"I'm The Problem","Morgan Wallen",88,92,"country","Country","I'm The Problem",2025-01-31,02:57,55,75,67,0,49,0,10,-5,F minor,1,2025-04-07,3HlWVKwU0JqJXqJK9DWHnZ,"Big Loud Records / Mercury Records / Republic Records",4A,USUG12500975
