#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time ,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
458,"Sucker","Jonas Brothers",4,138,"","","Sucker",2019-03-01,03:01,84,73,4,0,95,0,10,-5,C♯/D♭ minor,4,2019-11-22,4y3OI86AEP6PQoDE6olYhO,"Jonas Brothers Recording",12A,USUG11900515
459,"The Motto","Drake,Lil Wayne",77,202,"rap, hip hop","Hip Hop","Take Care (Deluxe)",2011-11-15,03:01,77,44,0,0,39,30,10,-9,C♯/D♭,4,2019-11-22,4Kz4RdRCceaA9VgTqBhBfa,"Cash Money Records/Young Money Ent./Universal Rec.",3B,USCM51100731
460,"Bad At Love","Halsey",9,118,"","","hopeless fountain kingdom (Deluxe)",2017-06-02,03:01,68,75,6,0,61,0,0,-4,C,4,2019-12-28,7y9iMe8SOB6z3NoHE2OfXl,"Astralwerks (ASW)",8B,USUM71702220
461,"Look Alive (feat. Drake)","BlocBoy JB,Drake",12,140,"memphis rap, rap","Hip Hop","Look Alive (feat. Drake)",2018-02-09,03:01,92,58,0,0,60,20,10,-7,A#/B♭,4,2019-12-28,4qKcDkK6siZ7Jp1Jb4m0aL,"OVO Sound/Warner Records",6B,USWB11800211
462,"Starving","Hailee Steinfeld,Grey,Zedd",76,100,"edm","Electronic","Starving",2016-07-22,03:01,73,62,38,0,51,0,10,-4,E,4,2019-12-28,4Ce37cRWvM1vIGGynKcs22,"Universal Records",12B,USUM71606370
463,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B,Hayley Williams",79,93,"art pop","Pop","B.o.B Presents: The Adventures of Bobby Ray",2010-04-27,03:00,66,87,11,0,38,10,0,-4,F#/G♭ minor,4,2019-11-22,6lV2MSQmRIkycDScNtrBXO,"Rebel Rock/Grand Hustle/Atlantic",11A,USAT21000477
464,"Going Bad (feat. Drake)","Meek Mill,Drake",77,86,"rap","Hip Hop","Championships",2018-11-30,03:00,89,50,26,0,54,0,20,-6,E minor,4,2019-12-28,2IRZnDFmlqMuOrYOLnZZyc,"MMG/Atlantic",9A,USAT21812710
465,"Cheerleader - Felix Jaehn Remix Radio Edit","OMI",70,118,"","","Me 4 U",2015-10-16,03:00,78,68,14,0,59,0,10,-6,E,4,2019-11-22,023OVLNzXhX0j7CxswUt6D,"Ultra/Louder Than Life/Columbia",12B,USQX91500448
466,"Look Back at It","A Boogie Wit da Hoodie",77,96,"melodic rap","Hip Hop","Hoodie SZN",2018-12-21,02:59,79,59,41,0,54,0,10,-5,D#/E♭ minor,4,2019-12-28,3Ol2xnObFdKV9pmRD2t9x8,"Highbridge the Label / Atlantic Records",2A,USAT21812667
467,"7 rings","Ariana Grande",85,140,"pop","Pop","thank u, next",2019-02-08,02:58,78,32,59,0,33,30,0,-11,C♯/D♭ minor,4,2019-11-22,6ocbgoVGwYJhOv1GgI9NsF,"Republic Records",12A,USUM71900110
468,"Treasure","Bruno Mars",81,116,"","","Unorthodox Jukebox",2012-12-07,02:58,87,69,4,0,94,0,30,-5,F minor,4,2019-12-28,55h7vJchibLdUkxdlX3fK7,"Atlantic Records",4A,USAT21206909
469,"HUMBLE.","Kendrick Lamar",89,150,"hip hop, west coast hip hop","Hip Hop","DAMN.",2017-04-14,02:57,91,62,0,0,42,10,10,-7,C♯/D♭ minor,4,2019-11-22,7KXjTSCq5nL1LoYtL7XAwS,"Aftermath",12A,USUM71703085
470,"Talk Dirty (feat. 2 Chainz)","Jason Derulo,2 Chainz",71,100,"southern hip hop, rap","Hip Hop","Talk Dirty",2013-09-10,02:57,76,65,3,0,76,20,30,-7,F#/G♭,4,2019-11-22,6g6A7qNhTfUgOSH7ROOxTD,"Beluga Heights/Warner Records",2B,USWB11302648
471,"Everybody Talks","Neon Trees",82,155,"","","Picture Show",2012-01-01,02:57,47,92,0,0,72,0,30,-4,G#/A♭,4,2019-11-22,2iUmqdfGZcHIhS3b9E9EWq,"Mercury Records",4B,USUM71119189
472,"Lean On","Major Lazer,DJ Snake,MØ",7,98,"moombahton, ","Electronic, Latin","Peace Is The Mission (Extended)",2015-11-27,02:56,72,81,0,0,27,0,50,-3,G minor,4,2019-11-22,1Lim1Py7xBgbAkAys3AGAG,"Mad Decent",6A,QMUY41500008
473,"Issues","Julia Michaels",77,114,"","","Nervous System",2017-07-28,02:56,73,42,40,0,46,0,0,-7,G#/A♭,4,2019-12-28,7vu0JkJh0ldukEYbTVcqd0,"J/Republic",4B,USUM71615691
474,"Demons","Imagine Dragons",75,90,"","","Night Visions",2012-09-04,02:55,50,71,19,0,42,0,30,-3,D#/E♭,4,2019-11-22,3LlAyCYU26dvFZBDUIMb7a,"Kid Ina Korner / Interscope",5B,USUM71201071
475,"Started From the Bottom","Drake",66,86,"rap","Hip Hop","Nothing Was The Same",2013-01-01,02:54,79,52,3,0,58,10,10,-8,G#/A♭,4,2019-12-28,5DI9jxTHrEiFAhStG7VA8E,"Cash Money Records/Young Money Ent./Universal Rec.",4B,USCM51300064
476,"Goodbyes (feat. Young Thug)","Post Malone,Young Thug",79,150,"rap, melodic rap, trap","Hip Hop","Hollywood's Bleeding",2019-09-06,02:54,55,65,46,0,16,0,10,-4,F,4,2019-12-28,0t3ZvGKlmYmVsDzBJAXK8C,"Republic Records",7B,USUM71912330
